Pair,Probability,Code
">
",1/770604,11111111111110001010
(э,1/770604,11111111111110001011
ю),1/770604,1111111111111000110
ф-,1/770604,11111111111110001110
"ф,",1/770604,11111111111110001111
о<,1/770604,1111111111111001000
>к,1/770604,11111111111110010010
б…,1/770604,11111111111110010011
ц»,1/770604,1111111111111001010
(к,1/770604,11111111111110010110
ьф,1/770604,11111111111110010111
 Ц,1/770604,1111111111111001100
е<,1/770604,11111111111110011010
<Х,1/770604,11111111111110011011
а<,1/770604,1111111111111001110
я<,1/770604,11111111111110011110
ч>,1/770604,11111111111110011111
с>,1/770604,1111111111111010000
ы ,1/770604,11111111111110100010
 т,1/770604,11111111111110100011
Ля,1/770604,1111111111111010010
am,1/770604,11111111111110100110
e.,1/770604,11111111111110100111
з>,1/770604,1111111111111010100
е ,1/770604,11111111111110101010
"
Ж",1/770604,11111111111110101011
ц…,1/770604,1111111111111010110
<М,1/770604,11111111111110101110
в<,1/770604,11111111111110101111
ю>,1/770604,1111111111111011000
-Д,1/770604,11111111111110110010
 …,1/770604,11111111111110110011
…х,1/770604,1111111111111011010
б;,1/770604,11111111111110110110
[р,1/770604,11111111111110110111
о],1/770604,1111111111111011100
-<,1/770604,1111111111111011101
<е,1/770604,1111111111111011110
<ш,1/770604,11111111111110111110
 R,1/770604,11111111111110111111
Ro,1/770604,1111111111111100000
u:,1/770604,11111111111111000010
"u
",1/770604,11111111111111000011
/c,1/770604,1111111111111100010
nt,1/770604,11111111111111000110
t/,1/770604,11111111111111000111
y/,1/770604,1111111111111100100
/m,1/770604,11111111111111001010
er,1/770604,11111111111111001011
rt,1/770604,1111111111111100110
tv,1/770604,11111111111111001110
vi,1/770604,11111111111111001111
e_,1/770604,1111111111111101000
_d,1/770604,11111111111111010010
du,1/770604,11111111111111010011
us,1/770604,1111111111111101010
sh,1/770604,11111111111111010110
i.,1/770604,11111111111111010111
/a,1/770604,1111111111111101100
au,1/770604,11111111111111011010
ut,1/770604,11111111111111011011
th,1/770604,1111111111111101110
r/,1/770604,11111111111111011110
y.,1/770604,11111111111111011111
ПР,1/770604,1111111111111110000
РИ,1/770604,11111111111111100010
ИЛ,1/770604,11111111111111100011
ЛО,1/770604,1111111111111110010
ОЖ,1/770604,11111111111111100110
ЖЕ,1/770604,11111111111111100111
ЕН,1/770604,1111111111111110100
НИ,1/770604,11111111111111101010
ИЕ,1/770604,11111111111111101011
"Е
",1/770604,1111111111111110110
"
(",1/770604,11111111111111101110
(Р,1/770604,11111111111111101111
б»,1/770604,1111111111111111000
Дн,1/770604,11111111111111110010
ш:,1/770604,11111111111111110011
"
n",1/770604,1111111111111111010
no,1/770604,11111111111111110110
ot,1/770604,11111111111111110111
"s
",1/770604,1111111111111111100
"
6",1/770604,1111111111111111101
"
7",1/770604,1111111111111111110
"
8",1/770604,11111111111111111110
"
9",1/770604,11111111111111111111
